Coronary Heart Disease,Current Asthma,Diabetes,Mental Health,Obesity,Sleep <7 hours,TractFIPS
4.5,11.1,9.3,11.5,26.5,48.6,15003010507
5.7,12.4,11.4,14.2,32.2,51.4,15003009603
3.7,8.9,8.7,8.6,20.2,47.5,15003008923
5.5,10.6,10.8,10.6,25.2,48.3,15003010504
5.1,10.3,8.1,8.9,25.1,41.9,15003010901
4.8,9.6,8.4,8.1,23.5,42.1,15003010508
4.6,7.8,10.8,6.5,17.2,44.1,15003007810
4.6,9.7,9.1,8.5,22.8,44.4,15003010306
5.7,9.3,11.0,8.0,21.4,44.3,15003010505
4.5,8.9,10.1,8.1,20.3,46.1,15003008908
3.8,8.6,9.1,8.4,19.5,48.2,15003008924
4.0,9.4,9.7,9.7,22.1,48.8,15003008920
5.8,9.2,11.7,8.5,21.3,46.2,15003008005
6.2,12.3,12.3,14.0,33.0,52.0,15003009608
4.5,9.4,10.2,8.9,21.7,47.3,15003008909
4.4,9.4,9.7,8.8,22.4,46.4,15003008918
0.8,9.7,1.5,10.9,21.3,42.1,15003010802
7.3,12.5,14.1,14.5,33.0,51.8,15003009704
6.1,11.3,11.3,11.4,27.7,47.8,15003010305
0.9,9.7,1.7,11.5,22.6,42.7,15003010801
6.0,12.1,11.9,13.6,32.0,51.4,15003009703
4.9,9.4,10.3,8.7,22.2,45.8,15003008906
4.1,8.7,9.4,7.9,19.2,46.2,15003008917
5.3,10.1,10.9,10.2,24.2,47.5,15003008907
2.8,8.4,6.9,8.1,21.6,48.0,15003008931
3.6,8.2,8.9,7.1,18.3,45.8,15003008930
7.2,13.3,13.8,16.5,36.5,52.6,15003009802
4.9,10.4,10.1,10.9,25.8,48.5,15003008915
4.1,9.0,8.8,8.5,20.3,46.6,15003008929
7.7,14.5,15.0,18.6,38.5,54.3,15003009701
1.2,11.2,2.4,12.4,25.2,44.5,15003009000
2.5,9.0,6.1,8.2,20.3,47.1,15003008927
5.8,11.5,11.1,11.7,28.5,48.3,15003010303
2.6,8.8,6.7,8.1,20.6,47.9,15003008928
2.8,10.1,5.7,10.1,24.9,45.9,15003008926
1.2,11.3,2.9,13.1,29.5,48.1,15003009501
0.9,9.0,1.5,10.7,21.3,43.0,15003009503
1.5,11.0,3.3,11.4,26.8,45.3,15003009504
6.6,11.1,13.5,12.9,28.6,50.6,15003009400
1.2,11.2,2.8,12.3,28.2,46.7,15003009502
7.3,10.5,14.6,11.4,26.3,49.3,15003009300
1.1,10.9,2.1,13.8,25.6,45.5,15003009507
5.7,9.8,11.5,9.7,22.8,47.6,15003009200
6.8,11.5,11.5,12.1,32.9,47.4,15003009801
4.4,9.5,10.0,10.1,20.6,48.8,15003009100
5.1,10.2,9.5,10.4,24.7,45.8,15003009904
6.2,12.0,10.8,12.4,31.8,48.1,15003010201
2.8,11.0,5.2,11.9,25.0,44.7,15003010000
5.4,10.6,10.7,11.0,26.0,48.3,15003009902
3.4,11.1,6.5,11.7,25.9,46.2,15003010202
4.6,10.3,8.4,10.1,26.5,45.2,15003010100
5.2,6.3,7.9,8.2,20.5,27.8,12086007300
7.0,9.7,15.3,14.7,33.7,40.8,12086007200
3.3,6.0,5.4,8.4,19.1,28.7,12086007103
7.2,8.2,14.0,12.7,29.7,36.2,12086007101
4.6,6.0,7.2,8.2,20.3,28.2,12086006801
3.2,6.2,5.7,9.5,20.9,30.6,12086007104
7.1,6.0,10.0,7.4,19.5,26.1,12086006802
6.2,6.5,12.3,11.4,26.9,32.5,12086007002
5.9,6.2,11.6,10.7,25.7,31.8,12086007001
6.7,6.2,12.4,10.1,25.1,31.0,12086006900
4.1,5.7,7.3,7.5,19.8,27.6,12086006706
6.9,6.2,12.9,10.1,25.1,30.8,12086006302
9.4,6.9,17.6,13.1,31.1,33.7,12086006501
6.5,6.0,12.1,9.6,24.4,30.4,12086006504
8.3,6.5,15.1,11.2,27.1,31.9,12086006503
5.3,5.7,9.2,7.7,20.9,27.8,12086006705
2.4,5.7,4.7,8.6,19.7,29.5,12086006702
3.9,5.9,7.1,8.1,20.1,28.1,12086006714
6.8,6.6,12.9,11.4,26.6,32.1,12086006601
9.2,6.4,16.9,11.1,28.2,31.7,12086006301
2.2,5.6,4.7,9.0,21.1,30.3,12086006713
9.2,7.0,17.1,13.4,30.6,34.4,12086006401
3.0,5.5,5.7,7.4,19.8,28.1,12086006707
9.8,7.0,17.7,13.4,30.4,33.9,12086006403
8.0,6.4,14.9,11.6,28.4,32.7,12086006402
2.3,5.6,4.5,8.4,19.1,29.1,12086006711
5.9,6.9,11.8,13.3,28.5,34.1,12086006602
9.1,6.8,16.6,11.9,28.3,32.6,12086005802
9.0,7.1,16.9,14.1,31.1,34.8,12086005410
7.3,6.4,10.6,9.4,21.7,28.9,12086004500
8.4,6.5,15.2,11.0,26.7,31.8,12086005801
9.3,7.4,17.7,14.9,32.4,35.5,12086005304
1.7,5.7,3.4,9.1,20.0,31.0,12086006709
8.0,6.4,15.0,10.8,27.0,31.6,12086005600
9.5,6.8,17.6,12.5,29.8,32.9,12086005502
9.7,6.8,17.6,12.1,29.2,32.7,12086005407
12.4,7.9,22.3,16.7,35.5,36.4,12086005302
10.0,8.0,19.2,16.9,34.8,36.7,12086005409
9.0,7.5,17.4,15.6,33.2,36.3,12086005303
1.3,5.4,3.0,8.0,18.1,28.9,12086003705
9.7,7.3,17.6,14.3,31.6,34.8,12086003602
0.9,5.6,1.4,11.4,15.3,30.4,12086981000
2.0,5.9,4.0,8.9,19.7,30.7,12086003703
3.6,6.3,7.5,10.6,23.9,32.4,12086003704
10.0,6.8,18.1,12.0,29.0,32.4,12086005701
9.2,7.1,17.5,13.7,31.3,34.3,12086005704
8.9,6.8,16.5,12.7,29.7,33.6,12086004902
9.4,7.1,17.0,13.0,29.2,33.5,12086005501
6.4,6.7,11.3,12.5,27.0,33.5,12086004405
