TractFIPS,no-obesity,sleep >7,no-asthma,no-mental-health-prob,commute,pollution,density,safety,lat,long
15003003700,81.1,57.2,92.1,93.4,25.14149538278225,69.0,11.40427899925328,99.7624637874,21.2901849,-157.84855880000003
15003003604,82.5,53.8,92.2,92.6,24.10832659660469,46.0,12.824779567059007,99.7624637874,21.292993300000006,-157.83911
15003002500,77.6,51.1,90.8,89.9,22.832914572864322,63.0,12.458008402405575,99.7624637874,21.2934985,-157.8350967
15003001202,81.5,53.8,91.6,92.1,26.15743073047859,84.0,11.994539434511758,99.7624637874,21.2932639,-157.79977730000004
15003002600,77.9,52.4,90.7,90.3,25.094890510948897,57.0,12.091801916928597,99.7624637874,21.2956134,-157.82758130000005
15003003603,78.5,51.6,90.8,90.1,22.58544303797469,47.0,13.089884718425253,99.7624637874,21.296133,-157.8388875
15003003601,78.2,52.1,91.0,90.6,24.5024557956778,68.0,12.620289383327892,99.7624637874,21.2968596,-157.84404650000005
15003003800,79.3,54.6,91.4,92.0,24.52431476569408,61.0,11.459667330411309,99.7624637874,21.2958877,-157.8584565
15003002701,81.8,54.3,89.1,87.9,24.508305647840533,84.0,11.460514550499251,99.7624637874,21.2978048,-157.8159841
15003002800,82.4,57.9,91.6,93.1,26.80629139072848,87.0,10.702935406571838,99.7624637874,21.2997643,-157.8029334
15003003502,80.6,53.5,91.4,91.7,24.277840269966248,48.0,12.457895070012635,99.7624637874,21.3003265,-157.8389645
15003002702,78.4,53.8,90.7,90.8,26.59110473457676,63.0,11.824652605392135,99.7624637874,21.3009201,-157.8262946
15003000200,80.5,56.6,91.3,92.7,33.48429319371728,92.0,9.676627014199868,99.7624637874,21.3020394,-157.73107009999995
15003000401,82.4,59.0,92.1,93.7,29.838975297346764,89.0,9.476008644437961,99.7624637874,21.3017383,-157.7704867
15003001100,73.6,50.1,89.6,88.2,34.17134502923977,88.0,11.778056075517213,99.7624637874,21.3018484,-157.793422
15003000110,78.9,56.1,91.0,92.3,41.55172413793103,95.0,9.801253987012208,99.7624637874,21.2965608,-157.6651345
15003000111,80.4,55.5,91.4,92.6,39.276515151515156,99.0,10.777080356299438,99.7624637874,21.3025961,-157.6845226
15003003900,73.1,53.7,90.4,90.1,29.83050847457627,77.0,9.811560865952167,99.7624637874,21.2997853,-157.8655077
15003003501,79.8,55.0,91.7,92.4,23.706512778235773,44.0,12.272029823282855,99.7624637874,21.3027247,-157.8463046
15003003407,84.4,61.4,92.7,94.5,22.086153846153852,73.0,12.233837559188538,99.7624637874,21.3027953,-157.83534469999995
15003003406,77.7,51.4,90.7,90.2,27.70238463920718,63.0,13.41284875646618,99.7624637874,21.3045991,-157.84027340000003
15003000301,81.7,56.6,91.7,93.0,31.48615384615385,91.0,9.296896848916466,99.7624637874,21.3048117,-157.75015990000003
15003000106,80.2,57.7,91.4,92.9,39.09557702084393,92.0,10.210425913817096,99.7624637874,21.304958600000006,-157.7078656
15003003405,78.3,54.3,90.8,91.2,24.372579001019364,80.0,13.158032096182508,99.7624637874,21.3051375,-157.8331515
15003002900,82.8,57.5,92.4,93.7,23.331180811808117,88.0,10.955661665450847,99.7624637874,21.3060087,-157.8078062
15003000107,80.4,56.9,91.3,92.8,37.24070945945946,91.0,10.249276054301873,99.7624637874,21.3106202,-157.6896175
15003003403,77.3,53.6,90.9,91.0,22.03379658875552,67.0,13.003854100372946,99.7624637874,21.3072804,-157.8442791
15003003404,79.6,54.8,91.5,91.9,24.06911604219717,83.0,13.121230981338213,99.7624637874,21.307468300000004,-157.8373259
15003004100,75.9,51.9,90.1,89.7,25.868253293667657,36.0,12.135674367278195,99.7624637874,21.3076884,-157.8525758
15003004000,77.9,57.6,91.4,92.7,21.52359208523592,6.0,11.885723089422493,99.7624637874,21.3088984,-157.86129269999995
15003003000,81.6,57.7,91.6,92.9,24.02886247877759,88.0,11.30051689010074,99.7624637874,21.309135,-157.8195399
15003003300,78.6,55.9,91.0,92.2,24.932676518883422,87.0,10.877663591405845,99.7624637874,21.312063,-157.83496019999995
15003005200,74.8,47.7,89.4,87.5,27.75434782608696,66.0,13.196109794858305,99.7624637874,21.312388,-157.8634655
15003005700,69.4,47.0,89.3,86.7,28.53449709060682,65.0,9.614722677032256,99.7624637874,21.3092671,-157.8767084
15003008408,75.7,53.8,90.3,90.8,41.964927048260385,69.0,10.398579132101824,99.7624637874,21.3101565,-158.03677380000005
15003004200,79.9,55.1,91.4,92.1,27.215587044534413,62.0,12.820458100675204,99.7624637874,21.313056,-157.856526
15003004300,77.6,53.2,90.6,90.8,27.638003355704694,78.0,11.67286570815886,99.7624637874,21.3139888,-157.8475372
15003008402,75.5,50.5,89.7,89.0,49.93609022556391,88.0,11.900251685824838,99.7624637874,21.3094156,-158.0172273
15003005100,79.4,52.0,90.9,90.3,24.456109134045075,62.0,13.022658854797069,99.7624637874,21.3152594,-157.8588763
15003008502,65.3,48.0,87.3,84.0,39.11976047904192,94.0,8.010096861076361,99.7624637874,21.314874300000003,-158.0739124
15003008407,75.3,52.5,90.2,90.2,54.0985994397759,61.0,11.750194643504978,99.7624637874,21.3163397,-158.0178187
15003001000,79.7,54.7,91.2,91.6,30.258700696055683,90.0,9.236342745787033,99.7624637874,21.3176504,-157.77798959999996
15003005300,78.6,49.1,90.3,88.9,31.96750902527076,61.0,12.577897886761837,99.7624637874,21.3176004,-157.8613908
15003980200,67.4,45.9,89.2,86.1,0.0,61.0,7.691336623534974,99.7624637874,21.3253827,-157.9173555
15003005400,61.3,42.2,86.2,79.2,32.316901408450704,62.0,13.221915753798811,99.7624637874,21.3199564,-157.8641037
15003008302,76.6,49.9,90.0,89.4,46.72158365261814,89.0,11.718246303997006,99.7624637874,21.3211385,-158.0044242
15003005000,81.4,53.4,91.4,91.5,25.99333967649857,65.0,12.235298313467476,99.7624637874,21.3216909,-157.85502580000005
15003005500,78.0,47.4,90.1,88.0,32.820439350525305,64.0,12.500708573226595,99.7624637874,21.3223499,-157.8632163
15003003200,78.5,59.3,91.0,92.8,24.19480519480519,90.0,8.355392017428787,99.7624637874,21.3228702,-157.8196056
15003005900,69.1,45.7,90.4,86.7,29.24608695652174,70.0,10.68403301088776,99.7624637874,21.3235359,-157.8871691
15003003101,83.5,58.3,92.4,93.9,26.716880341880344,91.0,9.856925115591103,99.7624637874,21.3256902,-157.79390780000003
15003007303,80.5,58.1,89.9,88.3,17.140957446808514,50.0,7.093106074355199,99.7624637874,21.3248609,-157.9532476
15003004900,79.9,50.9,90.8,90.2,27.71719298245614,82.0,12.286300514775055,99.7624637874,21.3258199,-157.85852250000005
15003005800,78.4,48.9,90.0,89.0,28.65755919854281,66.0,12.145288579555027,99.7624637874,21.3263239,-157.8767791
15003940001,65.4,49.3,87.5,86.8,39.745052386495935,93.0,9.701706964351127,99.7624637874,21.3229952,-157.6872456
15003008410,78.6,51.9,91.0,91.2,40.94835485214494,55.0,10.45816722633016,99.7624637874,21.3263799,-158.02870280000005
15003005600,80.0,49.7,90.7,89.6,28.350080601826967,66.0,12.211580822179409,99.7624637874,21.3299498,-157.86782040000003
15003004400,76.9,52.5,90.6,90.8,26.54180602006689,87.0,10.558676731969062,99.7624637874,21.3294098,-157.82802130000005
15003008406,76.8,51.8,90.6,90.8,42.91053484602918,72.0,11.190781875747797,99.7624637874,21.3302771,-158.0125744
15003011500,72.7,50.2,89.3,88.9,40.05783385909569,92.0,10.43846572872313,99.7624637874,21.3311367,-158.07192859999995
15003981400,69.3,48.6,92.0,91.3,24.0,41.0,7.440918189220276,99.7624637874,21.3226396,-157.9059542
15003006000,81.0,48.7,91.1,90.0,33.231071522137796,66.0,12.259666841632415,99.7624637874,21.3324236,-157.882351
15003004700,82.1,55.4,91.7,92.7,26.493288590604035,84.0,11.412544422969749,99.7624637874,21.3324683,-157.852058
15003008411,76.9,50.9,90.5,90.2,45.84574749075541,61.0,11.206178618698594,99.7624637874,21.3332787,-158.0332084
15003003102,84.3,57.9,92.6,94.0,25.418417799752785,91.0,10.080555427454463,99.7624637874,21.3344623,-157.801328
