TractFIPS,no-obesity,sleep >7,no-asthma,no-mental-health-prob,commute,pollution,density,safety,lat,long
6001441302,82.7,66.0,92.3,91.0,37.61324376199617,15.0,52.7149709559386,41.32126306211266,37.56934260000001,-122.0194346
6071009707,76.7,67.8,90.9,90.2,31.707725947521862,70.0,34.364063739358826,53.630572006858216,34.447784399999996,-117.2261814
6037920039,77.4,65.8,91.8,89.0,38.838235294117645,23.0,49.26775834472124,53.158798934114984,34.4233641,-118.4397622
53033024902,79.7,72.2,92.1,92.3,32.74561403508772,27.0,49.487629290173274,57.28210758766223,47.56536970000001,-122.1337183
48439106700,68.3,64.2,90.3,86.6,32.4762331838565,64.0,28.288101867838613,54.2565242709574,32.84579,-97.4549537
6073017813,81.6,71.3,92.2,90.8,30.82260869565217,25.0,43.27835361472303,56.07622815967629,33.113797,-117.3220158
27053103600,79.0,74.1,92.9,92.6,23.283279220779228,8.0,52.41197997028782,54.48922295010955,44.98878300000001,-93.25962609999999
11001007903,69.6,59.6,89.2,89.3,40.465401785714285,14.0,60.36520143365419,23.573826605987385,38.8964252,-76.97430209999997
17115001400,68.8,69.7,90.8,89.1,19.856716417910448,64.0,43.55668387024292,55.405636754594454,39.8086636,-88.9641735
4013112100,59.7,57.6,87.9,79.1,28.81612586037365,9.0,47.60276628198567,54.48441319941053,33.4731961,-112.1257613
18141002300,52.3,53.0,86.3,83.1,26.955128205128197,67.0,43.95980418399653,57.12919841854428,41.676943200000004,-86.2938692
8031001403,80.6,71.8,91.1,88.0,30.26419098143236,4.0,42.26989246708499,47.246406687642704,39.680956200000004,-104.99325659999998
6071003102,66.6,58.2,89.5,82.0,32.44781144781145,13.0,56.06885937001327,53.630572006858216,34.0848456,-117.44006809999999
37081015300,62.7,61.5,91.1,87.6,27.457505957108808,72.0,26.55722791819265,53.27533300144538,36.1017305,-79.6436361
48215023513,63.8,64.5,91.2,84.2,32.096260387811625,65.0,30.85915392039041,58.06446103785544,26.3427982,-98.09050359999999
49049001701,79.1,72.8,91.8,90.0,20.153926157046282,55.0,39.28678005388529,67.46879168365716,40.25632020000001,-111.62364779999999
27053100400,66.1,62.5,89.5,84.7,26.515372168284784,19.0,48.330175379177895,54.48922295010955,45.028588799999994,-93.2950795
6047001601,63.1,57.7,88.6,77.3,40.65225225225226,6.0,50.532144960165105,43.518638761991426,37.29163079999999,-120.4768027
8069001304,67.0,69.2,89.6,84.9,26.82743837084673,84.0,41.8506176475001,61.557527609155564,40.611718700000004,-105.0881781
34031180600,58.7,54.8,89.4,83.3,27.965732087227412,17.0,63.77690897437449,51.743381909257224,40.9293226,-74.177044
48439113921,72.9,65.4,91.9,89.9,33.522568395615785,47.0,47.39067476851996,54.2565242709574,32.915728200000004,-97.26983259999999
48453000203,81.3,73.3,91.2,88.3,21.206395348837205,32.0,46.41286940349991,56.967315589080236,30.3126203,-97.7366662
55025011000,74.3,73.2,91.9,91.2,21.496975806451612,47.0,47.833536942820764,61.765199464706235,43.0919938,-89.4977179
41051009903,79.8,68.6,91.2,89.5,31.367991483321504,1.0,43.11058984289615,51.907158838676594,45.47394,-122.4712764
19113000300,65.6,69.2,92.2,88.9,22.82509881422925,61.0,44.89804961399402,62.65050598284718,42.0383251,-91.6153272
17031710100,49.6,52.7,86.3,81.9,45.11409395973155,27.0,58.83939918315613,47.33929612733445,41.753391799999996,-87.6419713
48453001740,77.9,72.6,92.4,91.1,28.45345132743363,56.0,43.30285217926275,56.967315589080236,30.1900428,-97.85711140000001
41067032409,59.5,63.2,88.5,81.0,31.789300797747536,5.0,57.506427191385725,64.1835075822894,45.5188106,-122.96452520000001
6053000600,64.1,62.6,89.9,81.8,28.21887084300077,33.0,59.73676483754074,53.52896678643572,36.6799302,-121.6171939
48329000600,68.5,68.2,91.5,89.3,19.006211180124225,78.0,47.20568012874252,58.69284566793366,32.009733399999995,-102.0889444
48355002703,63.9,66.4,91.4,87.9,22.933533447684393,88.0,48.6315639267192,46.57602718286929,27.707665500000004,-97.3520623
